地上攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,慣性消去,
弱攻撃,弱1,5-6,24,4,4.8,5F,8-28Fは弱2に移行可能。,,,,,,,,,,,,,なし,
,弱2,4-6,31,6,7.2,6F,,,,,,,,,,,,,,1F,
ダッシュ攻撃,,9-12,34,12,14.4,11F,,,,,,,,,,,,,,1F,
,持続,13-24,,9,10.8,9F,,,,,,,,,,,,,,,
横強,上シフト,7-9,35,9,10.8,9F,"左腕無敵：6-9F (全シフト)
転倒率：+15% (下シフトのみ)",,,,,,,,,,,,,1F(*),
,無シフト,,34,8,9.6,8F,,,,,,,,,,,,,,,
,下シフト,,35,9,10.8,9F,,,,,,,,,,,,,,,
上強,,5-11,38,8/9/10,9.6/10.8/12,8F/9F/10F,右腕無敵：5-11F,,,,,,,,,,,,,なし,
下強,,6-7,24,6,7.2,6F,"左腕無敵：5-7F
転倒率：+40%",,,,,,,,,,,,,なし,
横スマッシュ,,22-23,54,22/21,26.4/25.2,14F/14F,"頭・両腕無敵：20-26F
相殺モーションなし。
溜め開始：15F目",,,,,,,,,,,,,16F,
上スマッシュ,,14-15,49,19,22.8,13F,"頭・両腕無敵：12-15F
相殺モーションなし。
溜め開始：7F目",,,,,,,,,,,,,なし,
下スマッシュ,始,11-12,55,17/17/14/14,20.4/20.4/16.8/16.8,11F/11F/10F/10F,"両腕無敵：11-14F
相殺モーションなし。
溜め開始：3F目",,,,,,,,,,,,,なし,
,,13-14,,18/18/14/14,21.6/21.6/16.8/16.8,12F/12F/10F/10F,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
空中攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ダメ (1v1+小J),ガード硬直,着地隙,着地隙発生F,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,備考,,,,
空N,,10-13,38,12,14.4,12.24,5F,10,10-26,,,,,,,,,,,,
,持続,14-26,,9,10.8,9.18,4F,,,,,,,,,,,,,,
空前,,18-20,55,16,19.2,16.32,6F,17,1-55,,,,,,,,,,,,
,持続,21-23,,15/13,18/15.6,15.3/13.26,5F/5F,,,,,,,,,,,,,,
空後,,7-8,31,13,15.6,13.26,5F,11,7-30,,,,,,,,,,,,
,持続,9-16,,8,9.6,8.16,4F,,,,,,,,,,,,,,
空上,,6-10,37,13,15.6,13.26,5F,15,6-25,,,,,,,,頭無敵：5-10F,,,,
空下,,14-16,54,16/13,19.2/15.6,16.32/13.26,6F/5F,14,3-49,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,,,,,,,,,,,,,,,,,,,,,
NB (ジャイアントパンチ),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上,溜めなし,19-20,62,10 ~ 28,12 ~ 33.6,10F ~ 24F,"スーパーアーマー：9-20F (最大溜め, 地上)
スーパーアーマー：15-20F (最大溜め, 空中)
左腕先無敵：4-20F (非最大溜め)

最大溜め：110F
溜め・キャンセル開始：8F目
キャンセルは空中ジャンプのみ全体5F。
回避・シールド・地上ジャンプは全体4F。

慣性反転：5F目
相殺モーションなし。",,,,,,,,,,TRUE,TRUE,,5F目,TRUE
,最大溜め,19-20,47,28/28/28/18,33.6/33.6/33.6/21.6,24F/24F/24F/16F,,,,,,,,,,,TRUE,TRUE,,,
空中,溜めなし,19-20,62,6 ~ 24,7.2 ~ 28.8,6F ~ 21F,,,,,,,,,,,TRUE,FALSE,,,
,最大溜め,19-20,47,25,30,22F,,,,,,,,,,,TRUE,FALSE,,,
