地上攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,慣性消去,
弱攻撃,弱1,3-4,17,3,3.6,4F,15-30Fは弱2に移行可能。,,,,,,,0,1,1,,,,1F,
,弱2,6-9,29,8,9.6,8F,,,,,,,,0,1,1,,,,-,
ダッシュ攻撃,始,8-9,41,10,12,7F,,,,,,,,0,1,1,,,,1F,
,,10-13,,10,12,7F,,,,,,,,0,1,1,,,,,
,持続,14-18,,6,7.2,6F,,,,,,,,0,1,1,,,,,
横強,上シフト,8-10,33,9/10/11,10.8/12/13.2,9F/10F/10F,,,,,,,,0,1,1,,,,1F(*),
,無シフト,,,8/9/10,9.6/10.8/12,8F/9F/10F,,,,,,,,0,1,1,,,,,
,下シフト,,,9/10/11,10.8/12/13.2,9F/10F/10F,,,,,,,,0,1,1,,,,,
上強,対地,15-18,39,13,15.6,12F,,,,,,,,0,1,1,,,,1F,
,対空,,,12,14.4,,,,,,,,,,,,,,,,
下強,,6-8,44,12,14.4,11F,,,,,,,,0,1,1,,,,1F,
横スマッシュ,上シフト,10-11,48,13/13/15,15.6/15.6/18,9F/9F/10F,溜め開始：4F目,,,,,,,0,1,1,,,,なし,
,無シフト,,,12/12/14,14.4/14.4/16.8,8F/8F/10F,,,,,,,,0,1,1,,,,,
,下シフト,,,11/11/13.5,13.2/13.2/16.2,8F/8F/9F,,,,,,,,0,1,1,,,,,
上スマッシュ,Hit 1,11-12,56,3,3.6,3F,溜め開始：7F目,,,,,,,0,1,0.8,,,,8F,
,Hit 2,15-16,,3,3.6,3F,,,,,,,,0,1,0.8,,,,,
,Hit 3,19-20,,3,3.6,3F,,,,,,,,0,1,0.8,,,,,
,Hit 4,23-24,,3,3.6,3F,,,,,,,,0,1,0.8,,,,,
,Hit 5,27-28,,6,7.2,5F,,,,,,,,0,1,0.8,,,,,
下スマッシュ,Hit 1,9-10,44,10,12,7F,溜め開始：4F目,,,,,,,0,1,1,,,,なし,
,Hit 2,17-18,,12,14.4,8F,,,,,,,,0,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,
空中攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ダメ (1v1+小J),ガード硬直,着地隙,着地隙発生F,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,備考,,,,
空N,Hit 1,8-11,45,10,12,10.2,4F,9,8-34,,,,,0,1,1,,,,,
,Hit 2,14-15,,9,10.8,9.18,4F,,,,,,,0,1,1,,,,,
,"Hit 2, 持続",16-22,,8,9.6,8.16,4F,,,,,,,0,1,1,,,,,
空前,Hit 1,6-7,59,3,3.6,3.06,2F,14,1-46,,,,,0,1,0.8,,,,,
,Hit 2-4,"12-13,
18-19, 24-25",,1.6,1.92,1.632,2F,,,,,,,0,1,0.8,,,,,
,Hit 5,30-31,,5,6,5.1,3F,,,,,,,0,2.2,1,,,,,
空後,,9-10,41,12/14,14.4/16.8,12.24/14.28,5F/5F,14,9-41,,,,,0,1.1,1,,,,,
,持続,11-14,,9,10.8,9.18,4F,,,,,,,0,1,1,,,,,
空上,始,5,39,3,3.6,3.06,2F,18,3-33,,,,,0,1,1,,,,,
,連,"7-14
(Rehit: 3)",,1.3,1.56,1.326,2F,,,,,,,0,1,1,,,,,
,〆,16-17,,4,4.8,4.08,3F,,,,,,,0,1,1,,,,,
空下,始,17-18,48,10,12,10.2,4F,12,4-33,,,,,0,1,1,,,,,
,メテオ,19-21,,14,16.8,14.28,5F,,,,,,,0,1,1,,,,,
,持続,22-23,,10,12,10.2,4F,,,,,,,0,1,1,,,,,
空中ワイヤー,Hit 1,8-15,59,2.5,3,3,4F,8,,,,,,0,1,1,ワイヤーガケつかまり：2-5F,,,,
,Hit 2,16-19,,4,4.8,4.8,5F,,,,,,,0,1,1,,,,,
