地上攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,慣性消去,
弱攻撃,弱1,2,"17
(5)",1.8,2.16,3F,"5-30Fは弱2に移行可能。
空振り時にボタン長押しで6F目から弱1でキャンセル可能。",,,,,,,0,1,1,,,,1F,
,弱2,2,20,1,1.2,2F,"5F目から百裂に移行可能。
ヒット時ボタン押しっぱなしで6F目に移行。",,,,,,,0,1,1,,,,-,
,"百裂, 始",,2,,,,,,,,,,,0,0,0,,,,-,
,"百裂, 連","3, 5, 7, 9, 11",12,0.6,0.72,4F,"ガード硬直補正倍率：6倍
最小5ヒット。
相殺なし。",,,,,,,0,1,0.4,,,,-,
,"百裂, 〆",3-4,38,2,2.4,3F,相殺なし。,,,,,,,0,1,1,,,,-,
ダッシュ攻撃,,4-7,31,6,7.2,10F,ガード硬直補正倍率：1.8倍,,,,,,,1,1,1,,,,1F,
,持続,8-15,,4,4.8,7F,,,,,,,,1,1,1,,,,,
横強,上シフト,6-8,23,7,8.4,7F,相殺なし。,,,,,,,0,1,1,,,,1F(*),
,無シフト,,,6,7.2,6F,,,,,,,,0,1,1,,,,,
,下シフト,,,7,8.4,7F,,,,,,,,0,1,1,,,,,
上強,,3-5,27,6/6/7/8,7.2/7.2/8.4/9.6,6F/6F/7F/8F,,,,,,,,0,1,1,,,,1F,
,持続,6-7,,5/5/6/6,6/6/7.2/7.2,6F/6F/6F/6F,,,,,,,,0,1,1,,,,,
下強,,7-8,27,8/8/7,9.6/9.6/8.4,8F/8F/7F,,,,,,,,0,1,1,,,,1F,
横スマッシュ,,13-14,45,14,16.8,10F,"相殺モーションなし。
溜め開始：5F目",,,,,,,0,1,1,,,,なし,
,持続,15-16,,11,13.2,8F,,,,,,,,0,1,1,,,,,
上スマッシュ,,8-9,55,16,19.2,11F,溜め開始：3F目,,,,,,,0,1,1,,,,6F,
,持続,10-11,,11,13.2,8F,,,,,,,,0,1,1,,,,,
下スマッシュ,,6-7,52,14/14/12/12,16.8/16.8/14.4/14.4,10F/10F/8F/8F,"両足無敵：6-7F
溜め開始：3F目",,,,,,,0,1,1,,,,なし,
,,,,,,,,,,,,,,,,,,,,,
空中攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ダメ (1v1+小J),ガード硬直,着地隙,着地隙発生F,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,備考,,,,
空N,,4-6,38,9,10.8,9.18,4F,7,4-31,,,,,0,1,1,,,,,
,持続,7-23,,6,7.2,6.12,3F,,,,,,,0,1,1,,,,,
空前,Hit 1,7-8,43,1.8,2.16,1.836,2F,18,1-44,,,,,0,1,1.3,着地判定は1-26Fに着地した場合にのみ発生。,,,,
,Hit 2,11-12,,1.3,1.56,1.326,2F,,,,,,,0,1,1.3,,,,,
,Hit 3,16-17,,1.8,2.16,1.836,2F,,,,,,,0,1,1.3,,,,,
,Hit 4,21-22,,2.8,3.36,2.856,2F,,,,,,,0,1,1.3,,,,,
,Hit 5,26-27,,4.8,5.76,4.896,3F,,,,,,,0,2,1,,,,,
,着地,1,,2,2.4,2.4,3F,,,,,,,,,,,,,,
空後,,9-11,48,13,15.6,13.26,5F,9,7-17,,,,,0,1,1,,,,,
空上,Hit 1,9-10,35,5,6,5.1,3F,13,9-24,,,,,0,1,1,,,,,
,Hit 2,12-13,,10,12,10.2,4F,,,,,,,0,1,1,,,,,
空下,Hit 1-6,"5-6, 8-9, 
11-12, 14-15, 
17-18, 20-21",49,1.4,1.68,1.428,2F,17,5-27,,,,,0,1,1,,,,,
,Hit 7,23,,3,3.6,3.06,2F,,,,,,,0,1,1,,,,,
,着地,1-2,,1,1.2,1.2,2F,,,,,,,0,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,,,,,,,,,,,,,,,,,,,,,
NB (ブラスター),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上,,11-12,36,3,3.6,2F,"1発追加毎に10F追加。
相殺なし。",,,,,,,0,0.25,0,FALSE,FALSE,TRUE,5F目,TRUE
,持続1,13-19,,2,2.4,2F,,,,,,,,0,0.25,0,FALSE,FALSE,TRUE,,
,持続2,20-32,,1.4,1.68,2F,,,,,,,,0,0.25,0,FALSE,FALSE,TRUE,,
空中,,9-10,34,3,3.6,2F,,,,,,,,0,0.25,0,FALSE,FALSE,TRUE,,
,持続1,11-17,,2,2.4,2F,,,,,,,,0,0.25,0,FALSE,FALSE,TRUE,,
,持続2,18-30,,1.4,1.68,2F,,,,,,,,0,0.25,0,FALSE,FALSE,TRUE,,
横B (フォックスイリュージョン),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上,,25-29,"55
(52)",8,9.6,3F,"着地隙：16F
25-26Fの判定をガードされると、全体フレームが3F減少する。
最低空空中横Bは踏切込みで全体57F。

ガケつかまり(前)：25F目以降",,,,,,,0,1,1,TRUE,FALSE,TRUE,5F目,TRUE
空中,,25-29,"72
(69)",5,6,3F,,,,,,,,0,1,1,TRUE,FALSE,TRUE,,
上B (ファイアフォックス),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上・空中,Hit 1-7,"20, 22, 24, 
26, 28, 30, 32",(91),1.8,2.16,3F,"着地隙：20F
Hit 1-7は相殺なし。

ガケつかまり(前後)：44F目以降",,,,,,,0,1,1,TRUE,FALSE,,5F目,TRUE
,Hit 8,43-46,,16,19.2,14F,,,,,,,,5,1,1,TRUE,FALSE,,,
,"Hit 8, 持続",47-72,,10,12,10F,,,,,,,,0,1,1,TRUE,FALSE,,,
下B (リフレクター),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上・空中,最短,"3
(反射：4-23F)",36,2,2.4,3F,"全身無敵：2-3F
反射：4-23F (最短)
相殺なし。",,,,,,,0,1,1,FALSE,FALSE,,FALSE,FALSE
,解除,,13,,,,,,,,,,,,,,,,,,
,反射時,,"19
(+13)",,,,"反射ダメージ倍率：1.4倍
反射速度倍率：1.4倍
飛び道具持続倍率：1倍
モーションは回避・ジャンプキャンセル可。",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
つかみ・投げ,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),,,,,,,,,,,,,,,,
つかみ攻撃,つかみ攻撃,1,5,1,1.2,,,,,,,,,,,,,,,,
つかみ,その場,6-8,36,,,,,,,,,,,,,,,,,,
,ダッシュ,10-11,44,,,,,,,,,,,,,,,,,,
,ふりむき,11-13,39,,,,,,,,,,,,,,,,,,
投げ,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),備考,,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,,
前投げ,打撃,10-11,33,4,4.8,,,,,,,,,1,1,1,,,,,
,投げ,11,,3,3.6,,,,,,,,,,,,,,,,
後投げ,ブラスター,"17-38, 
20-41, 23-44",49,2,2.4,ブラスターは相殺なし。,,,,,,,,0,1,1,,,,,
,投げ,10,,2,2.4,,,,,,,,,,,,,,,,
上投げ,ブラスター,"18-39, 
21-42, 24-45",49,2,2.4,ブラスターは相殺なし。,,,,,,,,0,1,1,,,,,
,投げ,7,,2,2.4,,,,,,,,,,,,,,,,
