技カテゴリ,技名,判定持続,全体フレーム,ダメージ,ガード硬直,着地隙,着地隙発生F,無敵フレーム
弱,弱1,5-6,24,4.8,5F,,,
弱,弱2,4-6,31,7.2,6F,,,
DA,DA,9-12,34,14.4,11F,,,
DA,DA（持続）,13-24,,10.8,9F,,,
強,横強（上シフト）,7-9,35,10.8,9F,,,
強,横強（無シフト）,7-9,34,9.6,8F,,,
強,横強（下シフト）,7-9,35,10.8,9F,,,
強,上強,5-11,38,9.6/10.8/12,8F/9F/10F,,,
強,下強,6-7,24,7.2,6F,,,
スマッシュ,横スマ,22-23,54,26.4/25.2,14F/14F,,,
スマッシュ,上スマ,14-15,49,22.8,13F,,,
スマッシュ,下スマ（始）,11-12,55,20.4/20.4/16.8/16.8,11F/11F/10F/10F,,,
スマッシュ,下スマ（持続）,13-14,,21.6/21.6/16.8/16.8,12F/12F/10F/10F,,,
空中,空N,10-13,38,14.4,5F,10,10-26,
空中,空N（持続）,14-26,,10.8,4F,,,
空中,空前,18-20,55,19.2,6F,17,1-55,
空中,空前（持続）,21-23,,18/15.6,5F/5F,,,
空中,空後,7-8,31,15.6,5F,11,7-30,
空中,空後（持続）,9-16,,9.6,4F,,,
空中,空上,6-10,37,15.6,5F,15,6-25,
空中,空下,14-16,54,19.2/15.6,6F/5F,14,3-49,
,,,,,,,,
必殺ワザ,,,,,,,,
必殺技,NB・地上・溜めなし,19-20,62,12 ~ 33.6,10F ~ 24F,,,
必殺技,NB・地上・最大溜め,19-20,47,33.6/33.6/33.6/21.6,24F/24F/24F/16F,,,
必殺技,NB・空中・溜めなし,19-20,62,7.2 ~ 28.8,6F ~ 21F,,,
必殺技,NB・空中・最大溜め,19-20,47,30,22F,,,
必殺技,横B,20-21,62,10/8,10F,,,
必殺技,対空,,,,,,,
必殺技,上B・地上（Hit 1）,19,104,6,6F,,,
必殺技,上B・地上（Hit 2-6）,"25-27, 32-33, 
40-42, 49-50, 
55-58",,1.68/1.68/4.2,3F/3F/4F,,,
必殺技,上B・地上（Hit 7）,62,,4.8,5F,,,
必殺技,上B・空中（Hit 1）,4-6,,6,6F,,,
必殺技,上B・空中（Hit 2-13）,"10-12, 13-14,
15-17, 18-19,
20-21, 22-24,
25-26, 27-29,
30-31, 32-33,
34-36, 37-38",,1.2,2F,,,
必殺技,上B・空中（Hit 14）,39-43,,2.4,3F,,,
必殺技,下B・地上（Hit 1）,12-13,46,16.8,8F,,,
必殺技,下B・地上（Hit 2）,23-24,,16.8,8F,,,
必殺技,下B・空中（Hit 1）,19-21,49,6,6F,,,
必殺技,下B・空中（Hit 2）,28-30,,7.2,6F,,,
つかみ,つかみ攻撃,2,7,1.92,1.92,,,
つかみ,その場,8-10,38,,,,,
つかみ,ダッシュ,11-13,46,,,,,
つかみ,ふりむき,12-14,41,,,,,
投げ,リフティング,,15,,,,,
投げ,前投げ（リフ）,15,45,12,14.4,,,
投げ,後投げ（リフ）,16,42,13,15.6,,,
投げ,上投げ(リフ),15,29,12,14.4,,,
投げ,下投げ(リフ),17,44,11,13.2,,,
投げ,後投げ,15,39,11,13.2,,,
投げ,上投げ,14,43,9,10.8,,,
投げ,下投げ,19,54,7,8.4,,,
