技カテゴリ,技名,判定持続,全体フレーム,ダメージ,ガード硬直,着地隙,着地隙発生F,無敵フレーム
弱,弱1,3-4,17,3,3.6,,,
弱,弱2,6-9,29,8,9.6,,,
DA,DA（始）,8-9,41,10,12,,,
DA,DA,10-13,,10,12,,,
DA,DA（持続）,14-18,,6,7.2,,,
強,横強（上シフト）,8-10,33,2009/10/11,10.8/12/13.2,,,
強,横強（無シフト）,,,2008/9/10,9.6/10.8/12,,,
強,横強（下シフト）,,,2009/10/11,10.8/12/13.2,,,
強,上強・対地,15-18,39,13,15.6,,,
強,上強・対空,,,12,14.4,,,
強,下強,6-8,44,12,14.4,,,
スマッシュ,横スマ・上シフト,10-11,48,13/13/15,15.6/15.6/18,,,
スマッシュ,横スマ・無シフト,,,12/12/14,14.4/14.4/16.8,,,
スマッシュ,横スマ・下シフト,,,11/11/13.5,13.2/13.2/16.2,,,
スマッシュ,上スマ（Hit 1）,11-12,56,3,3.6,,,
スマッシュ,上スマ（Hit 2）,15-16,,3,3.6,,,
スマッシュ,上スマ（Hit 3）,19-20,,3,3.6,,,
スマッシュ,上スマ（Hit 4）,23-24,,3,3.6,,,
スマッシュ,上スマ（Hit 5）,27-28,,6,7.2,,,
スマッシュ,下スマ（Hit 1）,9-10,44,10,12,,,
スマッシュ,下スマ（Hit 2）,17-18,,12,14.4,,,
空中攻撃,空N（Hit 1）,8-11,45,12,4F,9,8-34,
空中攻撃,空N（Hit 2）,14-15,,10.8,4F,,,
空中攻撃,空N（Hit 2）（持続）,16-22,,9.6,4F,,,
空中攻撃,空前（Hit 1）,6-7,59,3.6,2F,14,1-46,
空中攻撃,空前（Hit 2-4）,"12-13,
18-19, 24-25",,1.92,2F,,,
空中攻撃,空前（Hit 5）,30-31,,6,3F,,,
空中攻撃,空後,9-10,41,14.4/16.8,5F/5F,14,9-41,
空中攻撃,空後（持続）,11-14,,10.8,4F,,,
空中攻撃,空上（始）,5,39,3.6,2F,18,3-33,
空中攻撃,空上（連）,"7-14
(Rehit: 3)",,1.56,2F,,,
空中攻撃,空上（〆）,16-17,,4.8,3F,,,
空中攻撃,空下（始）,17-18,48,12,4F,12,4-33,
空中攻撃,空下（メテオ）,19-21,,16.8,5F,,,
空中攻撃,空下（持続）,22-23,,12,4F,,,
空中攻撃,空中ワイヤー（Hit 1）,8-15,59,3,4F,8,,
空中攻撃,空中ワイヤー（Hit 2）,16-19,,4.8,5F,,,
必殺技,NB・地上（溜め無し）,16-74,44,6,3F,,,
必殺技,NB・地上（最大溜め）,16-74,60,33.6,8F,,,
必殺技,NB・空中（溜め無し）,16-74,45,6,3F,,,
必殺技,NB・空中（最大溜め）,16-74,45,33.6,8F,,,
必殺技,横B・地上（ホーミングミサイル）,18-135,54,9.6,3F,,,
必殺技,横B・地上（スーパーミサイル）,21-96,57,14.4,4F,,,
必殺技,横B・空中（ホーミングミサイル）,18-135,59,9.6,3F,,,
必殺技,横B・空中（スーパーミサイル）,21-96,61,14.4,4F,,,
必殺技,上B・地上（始）,4-6,,3.6,4F,,,
必殺技,上B・地上（連1）,"7-11
(Rehit: 3)",,1.2,,,,
必殺技,上B・地上（連2）,"12-14
(Rehit: 3)",,1.2,,,,
必殺技,上B・地上（連3）,"15-24
(Rehit: 3)",,1.2,,,,
必殺技,上B・地上（〆）,25-26,,2.4,,,,
必殺技,上B・空中（連1）,"5-10
(Rehit: 2)",,1.2,2F,,,
必殺技,上B・空中（連2）,"11-26
(Rehit: 2)",,1.2,2F,,,
必殺技,上B・空中（〆）,27-28,,1.2,2F,,,
必殺技,下B・地上,33-80,47,4.8,2F,,,
必殺技,下B・空中,,48,,,,,
必殺技,下B・爆風,1-18,,6,3F,,,
必殺技,下B・ボムジャンプ,,48,,,,,
つかみ,つかみ攻撃,1,6,1.56,,,,
つかみ,その場,"15-22
15-17",59,,,,,
つかみ,ダッシュ,"17-24
17-19",67,,,,,
つかみ,ふりむき,"18-25
18-20",62,,,,,
投げ,前投げ,16,41,12,,,,
投げ,後投げ,12,49,12,,,,
投げ,上投げ（打撃）,15,,6,,,,
投げ,上投げ（投げ）,16,41,8.4,,,,
投げ,投げ,21,37,9.6,,,,
