地上攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,慣性消去,
弱攻撃,弱1,2,"14
(4)",1.8,2.16,3F,"4-30Fは弱2に移行可能。
空振り時にボタン長押しで5F目から弱1でキャンセル可能。",,,,,,,0,1,1,,,,なし,
,弱2,3,15,1.6,1.92,3F,4F目から百裂に移行可能。,,,,,,,0,1,1,,,,1F,
,"百裂, 始",,4,,,,相殺なし。,,,,,,,,,,,,,-,
,"百裂, 連","3, 5, 7, 9, 
11, 13, 15, 17",17,0.2,0.24,3F,"ガード硬直補正倍率：7倍
最小8ヒット。
相殺なし。",,,,,,,0,1,1,,,,-,
,"百裂, 〆",3-4,39,3,3.6,4F,,,,,,,,0,1,1,,,,,
ダッシュ攻撃,,9-17,51,12,14.4,11F,"ぬるり判定消去：9-34F
相殺なし。",,,,,,,0,1,1,,,,1F,
,持続1,18-26,,9,10.8,9F,,,,,,,,0,1,1,,,,,
,持続2,27-34,,6,7.2,6F,,,,,,,,0,1,1,,,,,
横強,全シフト,5-8,23,8/8/7,9.6/9.6/8.4,8F/8F/7F,,,,,,,,0,1,1,,,,なし,
上強,,4-5,20,5,6,6F,右足無敵：4-10F,,,,,,,0,1,1,,,,なし,
,持続,6-10,,4,4.8,5F,,,,,,,,0,1,1,,,,,
下強,,4-6,20,6,7.2,6F,"転倒率：+35% (根本)
転倒率：+30% (先端)",,,,,,,0,1,1,,,,なし,
横スマッシュ,全シフト,13-15,47,15,18,10F,溜め開始：5F目,,,,,,,0,1,1,,,,6F,
,"全シフト, 持続",16-19,,11,13.2,8F,,,,,,,,0,1,1,,,,,
上スマッシュ,,12-14,45,15/15/14,18/18/16.8,10F/10F/10F,"右足無敵：12-17F
溜め開始：9F目",,,,,,,0,1,1,,,,なし,
,持続1,15-16,,14/14/13,16.8/16.8/15.6,10F/10F/9F,,,,,,,,0,1,1,,,,,
,持続2,17,,13/13/12,15.6/15.6/14.4,9F/9F/8F,,,,,,,,0,1,1,,,,,
下スマッシュ,,7-11,50,14,16.8,10F,"両足無敵：3-11F
溜め開始：3F目",,,,,,,0,1,1,,,,なし,
,持続,12-19,,10,12,7F,,,,,,,,0,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,
空中攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ダメ (1v1+小J),ガード硬直,着地隙,着地隙発生F,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,備考,,,,
空N,,8-9,54,10,12,10.2,4F,6,5-48,,,,,0,1,1,,,,,
,持続1,10-13,,8,9.6,8.16,4F,,,,,,,0,1,1,,,,,
,持続2,14-18,,6,7.2,6.12,3F,,,,,,,0,1,1,,,,,
,持続3,19-32,,4,4.8,4.08,3F,,,,,,,0,1,1,,,,,
