地上攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,,,,慣性消去,
弱攻撃,弱1,2-3,"17
(6)",1.4/1.2/1,1.68/1.44/1.2,3F/2F/2F,"ボタン長押しで7F目から弱1でキャンセル可能。
相殺なし。",,,,,,,0,1,1,,,,なし,
ダッシュ攻撃,,6-8,35,11,13.2,17F,ガード硬直補正倍率：1.8倍,,,,,,,0,1,1,,,,1F,
,持続,9-12,,6,7.2,10F,,,,,,,,0,1,1,,,,,
横強,上シフト,6-8,29,10,12,10F,,,,,,,,0,1,1,,,,1F(*),
,無シフト,,,9,10.8,9F,,,,,,,,0,1,1,,,,,
,下シフト,,,8,9.6,8F,,,,,,,,0,1,1,,,,,
上強,,7-13,26,5,6,6F,,,,,,,,0,1,1,,,,1F,
下強,,7-8,18,6,7.2,6F,転倒率：+30%,,,,,,,0,1,1,,,,1F,
横スマッシュ,始,15-16,53,15,18,10F,"持続以外相殺なし。
持続は相殺モーションなし。
溜め開始：10F目",,,,,,,0,1,1,,,,なし,
,,17-19,,18,21.6,12F,,,,,,,,0,1,1,,,,,
,持続,20-29,,12,14.4,8F,,,,,,,,0,1,1,,,,,
上スマッシュ,,10-12,44,14/13/13,16.8/15.6/15.6,10F/9F/9F,"持続2のみ相殺なし。

溜め開始：3F目",,,,,,,0,1,1,,,,なし,
,持続1,13-14,,11,13.2,8F,,,,,,,,0,1,1,,,,,
,持続2,15-17,,7,8.4,6F,,,,,,,,0,1,1,,,,,
下スマッシュ,Hit 1-5,"8-9, 
11-12, 14-15, 
17-18, 20-21",65,2,2.4,3F,"相殺なし。

溜め開始：3F目",,,,,,,0,1,1,,,,なし,
,Hit 6,23,,3,3.6,3F,,,,,,,,0,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,
空中攻撃,,,,,,,,,,,,,,,,,,,,,
,,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ダメ (1v1+小J),ガード硬直,着地隙,着地隙発生F,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,備考,,,,
空N,Hit 1-3,"3-6, 9-12, 
15-18",38,1.8,2.16,1.836,2F,9,1-36,,,,,0,1,1,,,,,
,Hit 4,21-22,,3.5,4.2,3.57,2F,,,,,,,0,1,1,,,,,
空前,連,"11-25
(Rehit: 3)",41,1.4,1.68,1.428,2F,12,5-31,,,,,0,1,1,,,,,
,〆,27,,4.8,5.76,4.896,3F,,,,,,,0,1,1,,,,,
空後,Hit 1-5,"4-5, 8-9, 12-13,
16-17, 20-21",43,1,1.2,1.02,2F,18,4-37,,,,,0,1,1,,,,,
,Hit 6,24-25,,3.6,4.32,3.672,2F,,,,,,,0,1,1,,,,,
,着地,1-2,,4,4.8,4.8,5F,,,,,,,0,1,1,,,,,
空上,,4-6,26,6/6/5,7.2/7.2/6,6.12/6.12/5.1,3F/3F/3F,14,4-17,,,,,0,1,1,,,,,
,持続,7-8,,4,4.8,4.08,3F,,,,,,,0,1,1,,,,,
空下,メテオ,14-15,47,13,15.6,13.26,4F,22,1-38,,,,,0,1,1,,,,,
,持続,16-26,,12,14.4,12.24,4F,,,,,,,,,,,,,,
,"着地, 対地のみ",1-2,,4,4.8,4.8,5F,,,,,,,0,1,1,,,,,
,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,,,,,,,,,,,,,,,,,,,,,
NB (でんげき),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上,電撃,19-52,51,6/5,7.2/6,3F/3F,,,,,,,,1,1,1,TRUE,FALSE,TRUE,5F目,TRUE
,"電撃, 持続1",53-85,,5/4,6/4.8,3F/2F,,,,,,,,1,1,1,TRUE,,TRUE,,
,"電撃, 持続2",86-114,,4/3,4.8/3.6,2F/2F,,,,,,,,1,1,1,TRUE,,TRUE,,
空中,電撃弾,19-116,,4.8,5.76,3F,,,,,,,,1,1,1,TRUE,,TRUE,,
横B (ロケットずつき),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上・空中,最短,18-52,74,6.2 ~ 21.4,7.44 ~ 25.68,6F ~ 19F,"最大溜め：80F
溜め開始：14F目
スマッシュ入力で溜め時間+20Fから開始。

ガケつかまり(前)：14F目以降 (発射後)
ガケつかまり(前後)：41F目以降 (発射後)
ガケつかまり(前後)：2F目以降 (衝突後)",,,,,,,0,1,1,TRUE,FALSE,,5F目,TRUE
,衝突後,,21,,,,,,,,,,,,,,,,,,
上B (でんこうせっか),,判定持続,全体フレーム,基礎ダメージ,ダメージ (1v1),ガード硬直,備考,,,ベクトル,KBG (R.E.),BKB (R.A.),FKB (R.F.),盾削り値,ﾋｯﾄｽﾄｯﾌﾟ,ずらし,相殺,相殺ﾓｰｼｮﾝ,飛び道具,慣性反転,向き反転
地上・空中,Hit 1,15-19,(43),2,2.4,3F,"着地隙：24F
Hit 1のみ相殺モーションなし。
ガケつかまり(前後)：16F目以降 (1回目)
ガケつかまり(前後)：1F目以降 (2回目)",,,,,,,0,1,1,TRUE,FALSE,,FALSE,FALSE
,Hit 2,29-33,(57),3,3.6,4F,,,,,,,,0,1,1,TRUE,FALSE,,,
